Nx Ny Nh g path_to_PH
site 51is connected to 56
site 51is connected to 57
site 51is connected to 58
site 52is connected to 53
site 52is connected to 58
site 53is connected to 54
site 53is connected to 58
site 53is connected to 59
site 53is connected to 60
site 54is connected to 60
site 55is connected to 56
site 55is connected to 61
site 55is connected to 62
site 55is connected to 60
site 55is connected to 66
site 56is connected to 57
site 56is connected to 62
site 57is connected to 58
site 57is connected to 62
site 57is connected to 63
site 57is connected to 64
site 58is connected to 59
site 58is connected to 64
site 59is connected to 60
site 59is connected to 64
site 59is connected to 65
site 59is connected to 66
site 60is connected to 66
site 61is connected to 62
site 61is connected to 67
site 61is connected to 68
site 61is connected to 66
site 61is connected to 72
site 62is connected to 63
site 62is connected to 68
site 63is connected to 64
site 63is connected to 68
site 63is connected to 69
site 63is connected to 70
site 64is connected to 65
site 64is connected to 70
site 65is connected to 66
site 65is connected to 70
site 65is connected to 71
site 65is connected to 72
site 66is connected to 72
site 67is connected to 68
site 67is connected to 72
site 68is connected to 69
site 69is connected to 70
site 70is connected to 71
site 71is connected to 72
3  6  7  8  9  17  18  23  28  34  43  49  53  58  62  63  65  
magnetization on each site <Sz> for psi0
1 0
2 0
3 0.5
4 0
5 0
6 -0.5
7 0.5
8 -0.5
9 0.5
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 -0.5
18 0.5
19 0
20 0
21 0
22 0
23 -0.5
24 0
25 0
26 0
27 0
28 0.5
29 0
30 0
31 0
32 0
33 0
34 -0.5
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0.5
44 0
45 0
46 0
47 0
48 0
49 -0.5
50 0
51 0
52 0
53 0.5
54 0
55 0
56 0
57 0
58 -0.5
59 0
60 0
61 0
62 0.5
63 -0.5
64 0
65 0.5
66 0
67 0
68 0
69 0
70 0
71 0
72 0
Sum of Sz on each site for psi0=0.5
-------------------------------------------------------------

    vN Entropy at center bond b=36 = 0.896871208645
    Eigs at center bond b=36: 0.5432 0.4106 0.0200 0.0122 0.0112 0.0026 
    Largest link dim during sweep 1/1 was 8
    Largest truncation error: 0.00742142
    Energy after sweep 1/1 is -50.085580293687
    Sweep 1/1 CPU time = 21.62s (Wall time = 0.833s)

    vN Entropy at center bond b=36 = 1.204551085006
    Eigs at center bond b=36: 0.4378 0.4239 0.0481 0.0425 0.0214 0.0210 0.0022 0.0019 
    Largest link dim during sweep 1/1 was 16
    Largest truncation error: 0.00116441
    Energy after sweep 1/1 is -59.142078879429
    Sweep 1/1 CPU time = 1m, 16.0s (Wall time = 2.651s)

    vN Entropy at center bond b=36 = 1.363690272675
    Eigs at center bond b=36: 0.5389 0.2701 0.0670 0.0297 0.0279 0.0265 0.0156 0.0128 0.0034 0.0022 
    Largest link dim during sweep 1/1 was 32
    Largest truncation error: 0.000504388
    Energy after sweep 1/1 is -62.933056118150
    Sweep 1/1 CPU time = 2m, 46.8s (Wall time = 5.215s)

    vN Entropy at center bond b=36 = 1.756342530138
    Eigs at center bond b=36: 0.4500 0.2120 0.1158 0.0579 0.0457 0.0366 0.0221 0.0161 0.0113 0.0072 
    Largest link dim during sweep 1/1 was 50
    Largest truncation error: 0.000325663
    Energy after sweep 1/1 is -64.773391643988
    Sweep 1/1 CPU time = 4m, 32.1s (Wall time = 8.506s)

    vN Entropy at center bond b=36 = 2.064744279847
    Eigs at center bond b=36: 0.3551 0.1976 0.1404 0.0872 0.0519 0.0321 0.0271 0.0234 0.0199 0.0133 
    Largest link dim during sweep 1/1 was 100
    Largest truncation error: 0.00010083
    Energy after sweep 1/1 is -66.094977692379
    Sweep 1/1 CPU time = 9m, 27.1s (Wall time = 18.87s)

    vN Entropy at center bond b=36 = 2.193247213062
    Eigs at center bond b=36: 0.3049 0.2407 0.1020 0.0897 0.0630 0.0413 0.0283 0.0201 0.0194 0.0184 
    Largest link dim during sweep 1/1 was 100
    Largest truncation error: 0.000165659
    Energy after sweep 1/1 is -66.371134503910
    Sweep 1/1 CPU time = 11m, 25s (Wall time = 23.58s)

    vN Entropy at center bond b=36 = 2.501921719046
    Eigs at center bond b=36: 0.2563 0.2202 0.0871 0.0819 0.0731 0.0577 0.0320 0.0316 0.0268 0.0198 
    Largest link dim during sweep 1/1 was 300
    Largest truncation error: 2.45475e-05
    Energy after sweep 1/1 is -67.234397946329
    Sweep 1/1 CPU time = 27m, 15s (Wall time = 1m, 13.6s)

    vN Entropy at center bond b=36 = 2.695986161687
    Eigs at center bond b=36: 0.2206 0.1789 0.1075 0.0969 0.0616 0.0436 0.0422 0.0421 0.0331 0.0232 
    Largest link dim during sweep 1/1 was 300
    Largest truncation error: 5.19762e-05
    Energy after sweep 1/1 is -67.364523350759
    Sweep 1/1 CPU time = 33m, 58s (Wall time = 1m, 37.5s)

    vN Entropy at center bond b=36 = 2.882532619394
    Eigs at center bond b=36: 0.1766 0.1512 0.1187 0.0961 0.0632 0.0625 0.0580 0.0453 0.0263 0.0234 
    Largest link dim during sweep 1/1 was 500
    Largest truncation error: 2.39032e-05
    Energy after sweep 1/1 is -67.546022592267
    Sweep 1/1 CPU time = 51m, 43s (Wall time = 2m, 32.2s)

    vN Entropy at center bond b=36 = 2.942703031734
    Eigs at center bond b=36: 0.1533 0.1375 0.1190 0.0896 0.0826 0.0721 0.0693 0.0526 0.0215 0.0206 
    Largest link dim during sweep 1/1 was 500
    Largest truncation error: 3.15437e-05
    Energy after sweep 1/1 is -67.564092468625
    Sweep 1/1 CPU time = 58m, 44s (Wall time = 2m, 54.9s)

    vN Entropy at center bond b=36 = 3.134582173342
    Eigs at center bond b=36: 0.1312 0.1201 0.1099 0.0924 0.0820 0.0818 0.0745 0.0566 0.0175 0.0160 
    Largest link dim during sweep 1/1 was 1000
    Largest truncation error: 9.30102e-06
    Energy after sweep 1/1 is -67.678309052128
    Sweep 1/1 CPU time = 2h, 8m, 43s (Wall time = 7m, 15.1s)

    vN Entropy at center bond b=36 = 3.223347588318
    Eigs at center bond b=36: 0.1174 0.1091 0.1015 0.1002 0.0910 0.0816 0.0736 0.0623 0.0140 0.0129 
    Largest link dim during sweep 1/1 was 1000
    Largest truncation error: 1.38554e-05
    Energy after sweep 1/1 is -67.687230559130
    Sweep 1/1 CPU time = 2h, 31m, 21s (Wall time = 10m, 19s)

    vN Entropy at center bond b=36 = 3.243651075208
    Eigs at center bond b=36: 0.1127 0.1055 0.1047 0.0960 0.0954 0.0852 0.0707 0.0648 0.0122 0.0116 
    Largest link dim during sweep 1/1 was 1000
    Largest truncation error: 1.46989e-05
    Energy after sweep 1/1 is -67.689186261786
    Sweep 1/1 CPU time = 2h, 31m, 13s (Wall time = 11m, 3s)

    vN Entropy at center bond b=36 = 3.253200852206
    Eigs at center bond b=36: 0.1103 0.1075 0.1023 0.0977 0.0936 0.0871 0.0692 0.0661 0.0112 0.0112 
    Largest link dim during sweep 1/1 was 1000
    Largest truncation error: 1.50695e-05
    Energy after sweep 1/1 is -67.689946571656
    Sweep 1/1 CPU time = 2h, 32m, 28s (Wall time = 10m, 39s)

    vN Entropy at center bond b=36 = 3.258526837475
    Eigs at center bond b=36: 0.1089 0.1086 0.1009 0.0991 0.0922 0.0882 0.0683 0.0668 0.0109 0.0108 
    Largest link dim during sweep 1/1 was 1000
    Largest truncation error: 1.54599e-05
    Energy after sweep 1/1 is -67.690282612026
    Sweep 1/1 CPU time = 2h, 32m, 4s (Wall time = 10m, 51s)

    vN Entropy at center bond b=36 = 3.448127000536
    Eigs at center bond b=36: 0.1029 0.1008 0.0951 0.0934 0.0869 0.0837 0.0650 0.0626 0.0103 0.0099 
    Largest link dim during sweep 1/1 was 2000
    Largest truncation error: 4.36244e-06
    Energy after sweep 1/1 is -67.744218529560
    Sweep 1/1 CPU time = 5h, 51m, 44s (Wall time = 19m, 32s)

    vN Entropy at center bond b=36 = 3.543334498073
    Eigs at center bond b=36: 0.0992 0.0978 0.0917 0.0908 0.0824 0.0823 0.0618 0.0614 0.0102 0.0098 
    Largest link dim during sweep 1/1 was 2000
    Largest truncation error: 6.44953e-06
    Energy after sweep 1/1 is -67.746429957678
    Sweep 1/1 CPU time = 7h, 13m, 15s (Wall time = 24m, 55s)

    vN Entropy at center bond b=36 = 3.563701587186
    Eigs at center bond b=36: 0.0987 0.0969 0.0912 0.0899 0.0819 0.0814 0.0615 0.0608 0.0101 0.0097 
    Largest link dim during sweep 1/1 was 2000
    Largest truncation error: 6.74884e-06
    Energy after sweep 1/1 is -67.746673252456
    Sweep 1/1 CPU time = 7h, 14m, 12s (Wall time = 25m, 1s)

    vN Entropy at center bond b=36 = 3.570768504913
    Eigs at center bond b=36: 0.0984 0.0967 0.0910 0.0897 0.0817 0.0810 0.0613 0.0606 0.0100 0.0100 
    Largest link dim during sweep 1/1 was 2000
    Largest truncation error: 6.80708e-06
    Energy after sweep 1/1 is -67.746727381369
    Sweep 1/1 CPU time = 7h, 11m, 9s (Wall time = 24m, 26s)

    vN Entropy at center bond b=36 = 3.573715995926
    Eigs at center bond b=36: 0.0983 0.0967 0.0909 0.0896 0.0815 0.0809 0.0612 0.0605 0.0101 0.0099 
    Largest link dim during sweep 1/1 was 2000
    Largest truncation error: 6.84678e-06
    Energy after sweep 1/1 is -67.746749857413
    Sweep 1/1 CPU time = 7h, 11m, 14s (Wall time = 23m, 53s)

    vN Entropy at center bond b=36 = 3.665849412054
    Eigs at center bond b=36: 0.0943 0.0943 0.0874 0.0873 0.0788 0.0786 0.0591 0.0590 0.0107 0.0104 
    Largest link dim during sweep 1/1 was 3000
    Largest truncation error: 3.08239e-06
    Energy after sweep 1/1 is -67.762339592589
    Sweep 1/1 CPU time = 13h, 14m, 13s (Wall time = 39m, 28s)

    vN Entropy at center bond b=36 = 3.701529677285
    Eigs at center bond b=36: 0.0933 0.0928 0.0864 0.0860 0.0777 0.0775 0.0583 0.0581 0.0113 0.0110 
    Largest link dim during sweep 1/1 was 3000
    Largest truncation error: 3.59905e-06
    Energy after sweep 1/1 is -67.762703248615
    Sweep 1/1 CPU time = 15h, 25m, 4s (Wall time = 45m, 43s)

    vN Entropy at center bond b=36 = 3.708623811274
    Eigs at center bond b=36: 0.0931 0.0926 0.0862 0.0858 0.0775 0.0772 0.0582 0.0580 0.0114 0.0111 
    Largest link dim during sweep 1/1 was 3000
    Largest truncation error: 3.69105e-06
    Energy after sweep 1/1 is -67.762738556784
    Sweep 1/1 CPU time = 15h, 20m, 22s (Wall time = 47m, 39s)

    vN Entropy at center bond b=36 = 3.710962991948
    Eigs at center bond b=36: 0.0930 0.0926 0.0861 0.0857 0.0774 0.0772 0.0581 0.0579 0.0114 0.0112 
    Largest link dim during sweep 1/1 was 3000
    Largest truncation error: 3.72137e-06
    Energy after sweep 1/1 is -67.762746299363
    Sweep 1/1 CPU time = 15h, 30m, 40s (Wall time = 46m, 38s)

    vN Entropy at center bond b=36 = 3.711895487060
    Eigs at center bond b=36: 0.0929 0.0926 0.0860 0.0857 0.0773 0.0772 0.0581 0.0579 0.0114 0.0112 
    Largest link dim during sweep 1/1 was 3000
    Largest truncation error: 3.72971e-06
    Energy after sweep 1/1 is -67.762750472665
    Sweep 1/1 CPU time = 15h, 36m, 57s (Wall time = 48m, 32s)

    vN Entropy at center bond b=36 = 3.761167790639
    Eigs at center bond b=36: 0.0913 0.0910 0.0845 0.0843 0.0760 0.0758 0.0571 0.0569 0.0117 0.0117 
    Largest link dim during sweep 1/1 was 4000
    Largest truncation error: 2.02901e-06
    Energy after sweep 1/1 is -67.769420305481
    Sweep 1/1 CPU time = 25h, 35m, 41s (Wall time = 1h, 13m, 28s)

    vN Entropy at center bond b=36 = 3.778300866053
    Eigs at center bond b=36: 0.0906 0.0906 0.0839 0.0838 0.0754 0.0754 0.0567 0.0567 0.0119 0.0118 
    Largest link dim during sweep 1/1 was 4000
    Largest truncation error: 2.21019e-06
    Energy after sweep 1/1 is -67.769539815463
    Sweep 1/1 CPU time = 32h, 58m, 31s (Wall time = 1h, 29m, 16s)

    vN Entropy at center bond b=36 = 3.781332771078
    Eigs at center bond b=36: 0.0905 0.0905 0.0838 0.0837 0.0753 0.0753 0.0566 0.0566 0.0119 0.0119 
    Largest link dim during sweep 1/1 was 4000
    Largest truncation error: 2.24844e-06
    Energy after sweep 1/1 is -67.769550381066
    Sweep 1/1 CPU time = 34h, 45m, 0s (Wall time = 1h, 32m, 27s)

    vN Entropy at center bond b=36 = 3.782200487120
    Eigs at center bond b=36: 0.0905 0.0904 0.0838 0.0837 0.0753 0.0753 0.0566 0.0566 0.0119 0.0119 
    Largest link dim during sweep 1/1 was 4000
    Largest truncation error: 2.25915e-06
    Energy after sweep 1/1 is -67.769552769762
    Sweep 1/1 CPU time = 34h, 44m, 57s (Wall time = 1h, 32m, 37s)

    vN Entropy at center bond b=36 = 3.782497525088
    Eigs at center bond b=36: 0.0905 0.0904 0.0838 0.0837 0.0753 0.0753 0.0566 0.0566 0.0119 0.0119 
    Largest link dim during sweep 1/1 was 4000
    Largest truncation error: 2.26317e-06
    Energy after sweep 1/1 is -67.769554243416
    Sweep 1/1 CPU time = 34h, 40m, 40s (Wall time = 1h, 33m, 10s)

    vN Entropy at center bond b=36 = 3.782623798060
    Eigs at center bond b=36: 0.0905 0.0904 0.0838 0.0837 0.0753 0.0753 0.0566 0.0566 0.0119 0.0119 
    Largest link dim during sweep 1/1 was 4000
    Largest truncation error: 2.26494e-06
    Energy after sweep 1/1 is -67.769554988834
    Sweep 1/1 CPU time = 34h, 48m, 31s (Wall time = 1h, 32m, 21s)

    vN Entropy at center bond b=36 = 3.782680847478
    Eigs at center bond b=36: 0.0905 0.0904 0.0837 0.0837 0.0753 0.0753 0.0566 0.0566 0.0119 0.0119 
    Largest link dim during sweep 1/1 was 4000
    Largest truncation error: 2.26587e-06
    Energy after sweep 1/1 is -67.769555077328
    Sweep 1/1 CPU time = 34h, 42m, 12s (Wall time = 1h, 31m, 57s)

    vN Entropy at center bond b=36 = 3.782713713829
    Eigs at center bond b=36: 0.0905 0.0904 0.0837 0.0837 0.0753 0.0753 0.0566 0.0566 0.0119 0.0119 
    Largest link dim during sweep 1/1 was 4000
    Largest truncation error: 2.26641e-06
    Energy after sweep 1/1 is -67.769555226451
    Sweep 1/1 CPU time = 34h, 28m, 5s (Wall time = 1h, 32m, 12s)

    vN Entropy at center bond b=36 = 3.782734059927
    Eigs at center bond b=36: 0.0905 0.0904 0.0837 0.0837 0.0753 0.0753 0.0566 0.0566 0.0119 0.0119 
    Largest link dim during sweep 1/1 was 4000
    Largest truncation error: 2.26655e-06
    Energy after sweep 1/1 is -67.769555815002
    Sweep 1/1 CPU time = 34h, 43s (Wall time = 1h, 30m, 29s)

    vN Entropy at center bond b=36 = 3.782757177650
    Eigs at center bond b=36: 0.0905 0.0904 0.0837 0.0837 0.0753 0.0753 0.0566 0.0566 0.0119 0.0119 
    Largest link dim during sweep 1/1 was 4000
    Largest truncation error: 2.26737e-06
    Energy after sweep 1/1 is -67.769555995213
    Sweep 1/1 CPU time = 33h, 49m, 5s (Wall time = 1h, 30m, 43s)

    vN Entropy at center bond b=36 = 3.810984703417
    Eigs at center bond b=36: 0.0897 0.0895 0.0830 0.0828 0.0746 0.0745 0.0561 0.0560 0.0121 0.0120 
    Largest link dim during sweep 1/1 was 5000
    Largest truncation error: 1.3809e-06
    Energy after sweep 1/1 is -67.772934082684
    Sweep 1/1 CPU time = 48h, 47m, 17s (Wall time = 2h, 5m, 40s)

    vN Entropy at center bond b=36 = 3.820203997944
    Eigs at center bond b=36: 0.0893 0.0893 0.0826 0.0826 0.0743 0.0743 0.0558 0.0558 0.0122 0.0122 
    Largest link dim during sweep 1/1 was 5000
    Largest truncation error: 1.47165e-06
    Energy after sweep 1/1 is -67.772985087480
    Sweep 1/1 CPU time = 52h, 42m, 6s (Wall time = 2h, 16m, 19s)

    vN Entropy at center bond b=36 = 3.821681898090
    Eigs at center bond b=36: 0.0892 0.0892 0.0826 0.0826 0.0742 0.0742 0.0558 0.0558 0.0122 0.0122 
    Largest link dim during sweep 1/1 was 5000
    Largest truncation error: 1.49052e-06
    Energy after sweep 1/1 is -67.772989896379
    Sweep 1/1 CPU time = 53h, 30m, 10s (Wall time = 2h, 17m, 29s)

    vN Entropy at center bond b=36 = 3.822054159885
    Eigs at center bond b=36: 0.0892 0.0892 0.0826 0.0826 0.0742 0.0742 0.0558 0.0558 0.0122 0.0122 
    Largest link dim during sweep 1/1 was 5000
    Largest truncation error: 1.49633e-06
    Energy after sweep 1/1 is -67.772991020789
    Sweep 1/1 CPU time = 53h, 22m, 42s (Wall time = 2h, 17m, 40s)

    vN Entropy at center bond b=36 = 3.822178958802
    Eigs at center bond b=36: 0.0892 0.0892 0.0826 0.0826 0.0742 0.0742 0.0558 0.0558 0.0122 0.0122 
    Largest link dim during sweep 1/1 was 5000
    Largest truncation error: 1.49886e-06
    Energy after sweep 1/1 is -67.772991865768
    Sweep 1/1 CPU time = 53h, 43m, 56s (Wall time = 2h, 18m, 16s)

    vN Entropy at center bond b=36 = 3.822226683903
    Eigs at center bond b=36: 0.0892 0.0892 0.0826 0.0826 0.0742 0.0742 0.0558 0.0558 0.0122 0.0122 
    Largest link dim during sweep 1/1 was 5000
    Largest truncation error: 1.50006e-06
    Energy after sweep 1/1 is -67.772991975769
    Sweep 1/1 CPU time = 53h, 7m, 32s (Wall time = 2h, 16m, 45s)

    vN Entropy at center bond b=36 = 3.822247120962
    Eigs at center bond b=36: 0.0892 0.0892 0.0826 0.0826 0.0742 0.0742 0.0558 0.0558 0.0122 0.0122 
    Largest link dim during sweep 1/1 was 5000
    Largest truncation error: 1.50068e-06
    Energy after sweep 1/1 is -67.772992165455
    Sweep 1/1 CPU time = 53h, 44m, 54s (Wall time = 2h, 18m, 42s)

    vN Entropy at center bond b=36 = 3.822259417553
    Eigs at center bond b=36: 0.0892 0.0892 0.0826 0.0826 0.0742 0.0742 0.0558 0.0558 0.0122 0.0122 
    Largest link dim during sweep 1/1 was 5000
    Largest truncation error: 1.50104e-06
    Energy after sweep 1/1 is -67.772992434931
    Sweep 1/1 CPU time = 55h, 8m, 58s (Wall time = 2h, 21m, 10s)

    vN Entropy at center bond b=36 = 3.822268180503
    Eigs at center bond b=36: 0.0892 0.0892 0.0826 0.0826 0.0742 0.0742 0.0558 0.0558 0.0122 0.0122 
    Largest link dim during sweep 1/1 was 5000
    Largest truncation error: 1.50125e-06
    Energy after sweep 1/1 is -67.772992475663
    Sweep 1/1 CPU time = 55h, 50m, 52s (Wall time = 2h, 21m, 59s)

    vN Entropy at center bond b=36 = 3.822272737561
    Eigs at center bond b=36: 0.0892 0.0892 0.0826 0.0826 0.0742 0.0742 0.0558 0.0558 0.0122 0.0122 
    Largest link dim during sweep 1/1 was 5000
    Largest truncation error: 1.50137e-06
    Energy after sweep 1/1 is -67.772992592242
    Sweep 1/1 CPU time = 54h, 36m, 25s (Wall time = 2h, 19m, 51s)

    vN Entropy at center bond b=36 = 3.839559091856
    Eigs at center bond b=36: 0.0887 0.0886 0.0821 0.0820 0.0738 0.0738 0.0555 0.0554 0.0123 0.0123 
    Largest link dim during sweep 1/1 was 6000
    Largest truncation error: 9.94296e-07
    Energy after sweep 1/1 is -67.774887605094
    Sweep 1/1 CPU time = 72h, 24m, 57s (Wall time = 3h, 1m, 12s)

    vN Entropy at center bond b=36 = 3.844909306509
    Eigs at center bond b=36: 0.0885 0.0885 0.0819 0.0819 0.0736 0.0736 0.0554 0.0553 0.0123 0.0123 
    Largest link dim during sweep 1/1 was 6000
    Largest truncation error: 1.03693e-06
    Energy after sweep 1/1 is -67.774914550294
    Sweep 1/1 CPU time = 77h, 20m, 58s (Wall time = 3h, 14m, 29s)

    vN Entropy at center bond b=36 = 3.845698513377
    Eigs at center bond b=36: 0.0885 0.0885 0.0819 0.0819 0.0736 0.0736 0.0553 0.0553 0.0123 0.0123 
    Largest link dim during sweep 1/1 was 6000
    Largest truncation error: 1.04665e-06
    Energy after sweep 1/1 is -67.774917271260
    Sweep 1/1 CPU time = 70h, 59m, 16s (Wall time = 2h, 59m, 52s)

    vN Entropy at center bond b=36 = 3.845880400922
    Eigs at center bond b=36: 0.0885 0.0885 0.0819 0.0819 0.0736 0.0736 0.0553 0.0553 0.0123 0.0123 
    Largest link dim during sweep 1/1 was 6000
    Largest truncation error: 1.04989e-06
    Energy after sweep 1/1 is -67.774918053128
    Sweep 1/1 CPU time = 77h, 57m, 5s (Wall time = 3h, 14m, 0s)

    vN Entropy at center bond b=36 = 3.845933580423
    Eigs at center bond b=36: 0.0885 0.0885 0.0819 0.0819 0.0736 0.0736 0.0553 0.0553 0.0123 0.0123 
    Largest link dim during sweep 1/1 was 6000
    Largest truncation error: 1.05133e-06
    Energy after sweep 1/1 is -67.774918386244
    Sweep 1/1 CPU time = 76h, 42m, 1s (Wall time = 3h, 11m, 25s)
Nx = 12
Ny = 6
t = 1
pn = 17
Nh = 55
energy = -67.7749
-------------------------------------------------------------
magnetization on each site <Sz> for psi
1 0.0101121
2 -0.000724763
3 0.00703394
4 0.00457722
5 0.000726242
6 0.00284111
7 0.027129
8 0.00316098
9 0.0204274
10 0.0200784
11 0.00666933
12 0.0145377
13 0.0317421
14 0.00887038
15 0.0241879
16 0.0318405
17 0.0086567
18 0.0243181
19 0.0156907
20 0.00534355
21 0.0104715
22 0.025719
23 -0.000275309
24 0.0190541
25 -0.00269903
26 -0.00522533
27 -0.00428735
28 0.00553667
29 -0.00759309
30 0.00202417
31 -0.0124315
32 -0.00887111
33 -0.0115189
34 -0.00871615
35 -0.0096811
36 -0.00876271
37 -0.00871086
38 -0.00968059
39 -0.00876638
40 -0.0124209
41 -0.00886548
42 -0.0115271
43 0.00555568
44 -0.00758638
45 0.00200882
46 -0.00268558
47 -0.00521818
48 -0.00429835
49 0.0257346
50 -0.000267263
51 0.0190436
52 0.0157042
53 0.00535028
54 0.0104618
55 0.0318452
56 0.00866068
57 0.0243174
58 0.0317554
59 0.00887285
60 0.0241797
61 0.0200816
62 0.00666922
63 0.0145381
64 0.0271321
65 0.00315904
66 0.0204279
67 0.00457895
68 0.000725718
69 0.00284079
70 0.010108
71 -0.000726118
72 0.00703896
Sum of Sz on each site for psi=0.5
-------------------------------------------------------------
number of up particles and down particles and total per site
1 0.114186 0.0939616 0.208147
2 0.0632059 0.0646555 0.127861
3 0.113096 0.0990286 0.212125
4 0.0645247 0.0553703 0.119895
5 0.110868 0.109415 0.220283
6 0.0640921 0.0584099 0.122502
7 0.146079 0.0918214 0.237901
8 0.135892 0.12957 0.265461
9 0.142399 0.101544 0.243944
10 0.145257 0.1051 0.250358
11 0.134844 0.121505 0.256349
12 0.142187 0.113112 0.255299
13 0.155186 0.0917014 0.246887
14 0.136845 0.119104 0.255949
15 0.15018 0.101805 0.251985
16 0.150118 0.0864368 0.236555
17 0.139888 0.122575 0.262463
18 0.145766 0.0971302 0.242896
19 0.138902 0.107521 0.246422
20 0.137788 0.127101 0.26489
21 0.136527 0.115584 0.252111
22 0.151475 0.100037 0.251513
23 0.131623 0.132174 0.263797
24 0.146991 0.108883 0.255874
25 0.114182 0.11958 0.233762
26 0.124626 0.135077 0.259703
27 0.115636 0.12421 0.239846
28 0.124658 0.113585 0.238244
29 0.118585 0.133771 0.252356
30 0.124644 0.120596 0.24524
31 0.111245 0.136108 0.247353
32 0.115836 0.133578 0.249413
33 0.112965 0.136002 0.248967
34 0.110808 0.12824 0.239048
35 0.116458 0.13582 0.252278
36 0.112447 0.129972 0.24242
37 0.110805 0.128227 0.239032
38 0.116458 0.135819 0.252277
39 0.112455 0.129988 0.242443
40 0.111257 0.136099 0.247356
41 0.115841 0.133572 0.249412
42 0.112953 0.136007 0.24896
43 0.124666 0.113555 0.238222
44 0.118589 0.133762 0.252351
45 0.124643 0.120625 0.245268
46 0.114193 0.119564 0.233757
47 0.124631 0.135067 0.259698
48 0.115627 0.124223 0.23985
49 0.151483 0.100013 0.251496
50 0.131628 0.132162 0.26379
51 0.146986 0.108898 0.255884
52 0.138913 0.107505 0.246418
53 0.137791 0.127091 0.264882
54 0.136517 0.115593 0.25211
55 0.150116 0.0864251 0.236541
56 0.139888 0.122567 0.262455
57 0.145766 0.0971311 0.242897
58 0.155195 0.0916839 0.246879
59 0.136843 0.119097 0.255939
60 0.150169 0.10181 0.251979
61 0.145253 0.10509 0.250343
62 0.13484 0.121501 0.256341
63 0.142184 0.113108 0.255292
64 0.146079 0.0918149 0.237894
65 0.135885 0.129567 0.265451
66 0.142395 0.101539 0.243935
67 0.0645214 0.0553635 0.119885
68 0.110861 0.10941 0.220271
69 0.0640881 0.0584065 0.122495
